ReviewerID,P_interests,O_interests,P_intentions,O_intentions,product_preferences
A17BTP1QHK2I3I,"literary fiction, fantasy, romance, historical fiction, mystery, adventure","romance, Christmas stories, Amish fiction, historical fiction, fantasy, mystery","critically evaluate stories, provide thoughtful reviews","entertain, engage readers, provide a relaxing read","well-written stories, engaging characters, thought-provoking themes, historical accuracy"
A17DBWBCGJP32S,"Romance fiction, historical fiction, short stories, love stories, drama, suspense, etc.","Mystery, crime, thriller, non-fiction, self-help, etc.","To enjoy a good story, experience romance, escape reality, etc.","To learn something new, to be entertained, to critique and provide feedback, etc.","Romance novels, historical fiction, drama, suspense, etc."
A17EGVTXRDFTRS,"romance, love stories, family, relationships, careers","travel, music, world concert halls, fashion, park rangers","build trust, make relationships work, save careers, find happiness","save land, protect people, help others, collect debts","romance novels, series books, paranormal romance, shifter romance, romance with a mystery"
A17ER997828YOL,"reading, stories, characters, romance, action, adventure","series, books, writing, authors, reading experiences","to enjoy a good story, to be entertained, to escape reality","to read more books, to learn about new authors, to discuss reading experiences","boxed sets, series, romantic stories with action and adventure"
A17EWTSBIHB4QM,"Paranormal, Romance, Fantasy","Fantasy, Adventure, Drama","Enjoy quick, fun reads with smexy scenes","Laugh, Feel invested in characters, Escape reality","Fantasy, Paranormal, Romance"
A17H3ZRZKKWQJH,books,reading,enjoy,understand,romance
A17H8QA2SBVQQU,mystery,"action, romance, inspirational",read page turners,"find new authors, laugh, enjoy romance comedies","action, mystery, romance, inspirational"
A17IUHX3ADIE9U,paranormal abilities,"romance, action, suspense, science fiction",to enjoy a thrilling ride,to follow clues and solve plot,"books with romantic, erotic, and emotional elements, suspenseful and quirky stories, futuristic with space technology, stories with Navy Seals, great plots and realistic characters, scary stories about angels and demons, classic Dempsey and Sean Wyatt connections, thought-provoking and inspirational stories, romance and true love stories"
A17J4BQBDK7WPO,"Fantasy, Romance, Shifter books","Humor, Time travel, Gods","Entertainment, Enjoyment, Captivation","Humor, Emotion, Engagement","Fantasy novels, Romance stories, Shifter books"
A17JIHQIDWN21H,Romance,"Drama, Suspense, Thriller",Read,Recommend,Romance Novels
A17KGW8IYD63JR,Romance,Various,Enjoy reading,Not specified,Romance novels or series
A17QMTJ67OZT2D,romance,"book series, drama, high school romance",read,"learn, understand","romance books, BBW books, alpha male leads, instalove"
A17UY69IGPSTTK,DIY projects,self-improvement,inform readers about a product,share personal experiences,books
A17YHECC8H9NEY,Urban Fiction,"Urban Fiction, Romance, Drama",Read and Enjoy,"Discuss, Anticipate Next Part","Urban Fiction, Romance"
A183DRUR0UACQ4,romance,"fantasy, paranormal, shifters, fae, epic fantasy",read romance novels,"explore new fantasy worlds, follow character development","novels, short stories, paranormal romance"
A184W4IQT4W2GI,Chicago photography locations,photography,find great locations for photography,read and understand photography guide,photography guidebook
A189C4FM4TLW52,Historical Regency romance,"New series, Steamy menage, Hot romance, Dark thrillers",Recommend and praise,Critique and warn,"Full novels, Reasonably priced"
A189VDLZF1SOEH,paranormal romance,"adventure, love, trials",read hot alpha shifter stories,"escape stresses, become part of a world","shifters, alpha men, romance, adventure"
A18APZ96M9FBB0,Military,"Short stories, Family, Romance, Action, Fantasy, MC",Read as part of a series,Enjoy a light-hearted story,"Novels, Series, Action-packed, Romantic, Suspenseful"
A18DJEO7J45AP8,"romance, paranormal, vampire, love, family, friends","vampire, rock stars, UFC fighters, warriors, knights, fairytale twists","reading, learning, loving, enjoying, getting","fixing, saving, rescuing, fighting, winning","romance novels, paranormal series, fantasy books, fairytale twists, series with continuation"
A18DSSY1FGEGAB,"self-improvement, business","reading, puzzles, books","learn new skills, combat negative thoughts","relaxation, entertainment","books, puzzles, thrillers"
A18E8QC4WHRVUV,books for kids,apocalyptic novels,find engaging stories,add favorite authors,thriller novels
A18EEC1ENOT9YN,romance,"mystery, historical fiction, paranormal, science fiction","follow a love story, explore themes of love and relationships","solve a mystery, learn about history, understand paranormal phenomena","romance novels, mystery novels, historical fiction, paranormal books"
A18F9XLJ0UQF0E,"Short stories, Mystery, Cozy mysteries","Mystery novels, Beach reads, Romance","Entertain, Amuse, Delight","Engage, Involve, Surprise","Short stories, Mystery novels, Cozy mysteries"
A18K4TMJWIZ9IB,reading,no other interests specified,give a review,request for a sequel,books
A18LI83Q1F5DKU,"romance, love, relationships","erotica, BDSM, adventure, fantasy","escape, get a good laugh, enjoy a romantic story","be entertained, be engaged, learn something new","books, e-books, romance novels"
A18Q802I8UN54T,book lovers,"music, band, relationship stories, adventure, romance",read and review,"share love for characters, recommend author",books
A18S48PUNIR4XH,romance,books,read,recommend,romance books
A18TN5IRM7LPNK,books as a collection,"reading, shifter stories","enjoyed, recommend","reading, getting hands on next book","shifter books, trilogy"
A18XA76N0F5DGP,romance love stories,music rock stars,reading fast-paced books,recommending books to friends,ebooks
A18Y6RF6S79076,"Romance, Mystery, Thriller, Drama","Romance, Comedy, Contemporary","To be entertained, Engaged in a story","To enjoy a light-hearted romance, Relate to characters","Romance novels, Novellas, Series"
A18YWXFF8FFGB2,Romance and Sweet Romance,"Hot Sex Scenes, Humor, Drama",Read and Enjoy,Recommend and Anticipate,"Romantic and Sweet Romance E-books with HEA, Sexy and Funny Stories, Page-Turners with Intrigue and Deceit"
A190TSUIRJIFUK,Paranormal Romance,"Romantic Comedies, Paranormal Adventures","Find Love, Overcome Heartache","Escape Reality, Have an Adventure","Paranormal Romance Novels, Paranormal Dating Agency Series"
A195CNOUUIT4SU,"Romance, supernatural, fighting, happy endings","Gifts, Christmas, male friendships, hockey, hockey players, supernatural beings","Reading a story with a happy ending, finding out what happens next","Being happy, getting a good present, exploring a new world","Fiction, romance novels, supernatural fiction"
A195MQW43NHW6T,ROMANCE,"URBAN FICTION, PARANORMAL ROMANCE, AFRICAN AMERICAN ROMANCE",TO RECOMMEND A BOOK,TO CRITICIZE A BOOK,BOOKS IN THE ROMANCE AND URBAN FICTION GENRES
A19667Y3NLAUAL,"Romance, Fantasy, Science Fiction","Paranormal fiction, Supernatural fiction, Shifter fiction","Reading, Escapism, Relaxation","Entertainment, Emotional connection, Exploration","Ebooks, Series, Romance novels"
A1968QH121MIEZ,Romance,"Westerns, Cowboys",Read for Emotional Connection,"Entertain, Recommend","Romance Books, Cowboy Romances"
A196VEITY4SDJZ,"Fairy tales, Star Trek, children's stories, political novels, personal development","Science fiction, dance, history, writing","To rewrite classic fairy tales, to showcase leadership skills, to teach important lessons, to explore war crimes, to defend Americans","To review books, to share opinions, to inspire kids to dance, to praise authors","Books with rhyming, books with illustrations, books about teamwork, books about personal growth, books about history"
A197W8MNF706HT,paranormal romance,"scifi, fantasy, fiction",reading and enjoying romance stories,critiquing and analyzing storylines,paranormal romance novels
A1983ES85GQ6LC,"Historical fiction, romance, mystery, twists and turns","Book series, holiday stories, military heroes, sacrifices, romance, humor","Read and review books, recommend authors, look for series to follow","Learn about authors, enjoy holiday stories, get caught up in romance and humor","Standalone books with HEA, series with well-developed characters, romance and humor, holiday stories, military heroes, sacrifices"
A198E18E1LA3BE,Romance,"Fantasy, Alpha Males, Shifters",Read a love story,Explore different book series,"Series books, Romance novels, Fantasy"
A198VXVTHHIZJ7,Fantasy romance,"Other genres like science fiction, mystery, and adventure",Enjoy an engaging story with romantic elements,"Explore various genres, get lost in different storylines","Series, bundles, shape shifter romance, mail order series, dark planet series"
A19A83SNJZYJCB,thriller,"science fiction, history, genetics",check out the series,read and enjoy,thriller series
A19DWIC1T7127Y,"Romance, Mystery, Murder, Drama","BDSM, Party, Drugs, Fighting","Get hooked, Enjoy the ride","Dislike the story, Want more","E-books, Novellas, Holiday romance"
A19GA74ZCMMYPM,"Romance, Angst, MC Books, Death Dealers","MC Books, Angst",Read a 5 Star series,Anticipate more books from favorite authors,"MC Books, Angst-filled stories, Romance"
A19GHQW5J26JVC,"military history, historical fiction, world war two, wwii,  wwII escape plans, american prisoners of war, medal of honor recipient, combat stories","old west, high tech, international security, middle east, artificial intelligence, ark of the covenant, knights templar, wwII, nazis, wwII escape plans, casinos, bounties, whaling, whale attacks, survival, disaster at sea, cannibalism, rescue, moby dick","thriller, action, page-turner, realistic, great characters, unexpected twists and turns","searching for truth, exposing corruption, uncovering hidden information, saving lives, stopping villains","historical fiction, thrillers, action novels, westerns, military fiction, adventure novels"
A19GJX6TTSK0C0,"Historical Fiction, Romance, LGBTQ+ Literature","Photography, Road Trips, Coming-of-Age","Critique, Appreciation","Warning, Recommendation","Short Stories, Novels, Gay Romance, Coming-of-Age Stories, Historical Fiction"
A19I68RW4PBT29,romance,erotica,find love,indulge in sensuality,paranormal romance
A19LXU1TT72OKX,romance shifter books,books series,highly recommend,continue reading series,romance books
A19MJXG060UDTA,paranormal,"romance, action, suspense, family","entertainment, escapism","recommendation, discussion","paranormal romance, romance novels"
A19MQI49YCA5SK,romance,SciFi,read a story,skip parts of the story,stand alone books
A19MXYAHMAC99A,Romance,Fantasy,Critique and Review,Enjoyment and Appreciation,Shifters and Paranormal Stories
A19PTWEC22PZJD,romance,paranormal,reading,waiting for more,books
A19Q489ZXGDUJZ,romance novels,"character development, plot, mystery",reading and enjoying romance novels,"expanding on character relationships, uncovering plot twists","romance novels with unique twists, well-connected storylines, relatable characters"
A19QLCLVPLZH0B,"empathy, emotions, feeling",none,understand empathic individuals,none,books
